,Well_Name,allprodmaxindex,allprodcum,allprodquarter,allprodhalf,allprodthreequarter,halfwaydays,threequarterdays,halfdaysdate,Cumsum_OilProd_Norm,Cumsum_OilProd_ERU
0,11-25 Barker,12189,11139.0,153.0,476.0,798.0,323.0,322.0,2014,11139.0,0.0
1,12-35H SBRRU,91188,642380.2413793105,778.0,1942.0,2977.0,1164.0,1035.0,2012,0.0,642380.2413793105
2,14-16H State,91321,64321.89655172403,517.0,1153.0,2034.0,636.0,881.0,2015,0.0,64321.89655172403
3,14-28 Clarkson Federal,82960,68208.0,1940.0,3494.0,5226.0,1554.0,1732.0,1994,58377.0,9831.0
4,2-1H Tecton Federal,117169,8534.275862068966,48.0,107.0,232.0,59.0,125.0,2009,8534.275862068966,0.0
6,3-27H Clarkson,102820,96336.24137931055,753.0,1464.0,2287.0,711.0,823.0,2015,0.0,96336.24137931055
7,3-30 State,113925,11195.517241379308,172.0,414.0,748.0,242.0,334.0,2009,11195.517241379308,0.0
8,33-20 Ferkingstad,26393,619344.4137931014,574.0,1471.0,4447.0,897.0,2976.0,1977,619344.4137931014,0.0
9,43-29A Brown,80663,151263.0,1120.0,2297.0,3539.0,1177.0,1242.0,1997,148580.0,2683.0
10,43-29A-H Brown,80854,306598.0,938.0,1828.0,2823.0,890.0,995.0,2010,0.0,306598.0
11,8-27H Clarkson,103148,115189.17241379335,362.0,858.0,1584.0,496.0,726.0,2012,0.0,115189.17241379335
13,Abrahamson I-21H,114193,523950.9655172415,697.0,2081.0,2764.0,1384.0,683.0,2013,145328.89655172412,378622.0689655173
14,Abraxas 1-827 Federal,76795,192217.44827586206,1271.0,2633.0,4128.0,1362.0,1495.0,1991,192217.44827586206,0.0
15,Abraxas 30-44 Stearns,86550,223628.3103448274,1774.0,4247.0,7252.0,2473.0,3005.0,1997,223628.3103448274,0.0
16,Acton 11-22,120933,18405.1724137931,122.0,304.0,487.0,182.0,183.0,2011,18405.1724137931,0.0
17,Aldrin 24-25H,124479,26356.0,353.0,700.0,1235.0,347.0,535.0,2017,26356.0,0.0
18,Alpar 1-12 Clarkson,42069,53587.0,389.0,951.0,1652.0,562.0,701.0,1981,53587.0,0.0
19,Alum Creek Federal 3-14,9267,103496.34482758614,871.0,1960.0,3841.0,1089.0,1881.0,2007,0.0,103496.34482758614
20,Alum Creek Unit 3-10,8599,603125.5862068958,1422.0,3360.0,4733.0,1938.0,1373.0,1991,82379.3103448276,520746.275862069
21,Alum Creek Unit 3-11,6693,98238.0,1264.0,2353.0,3723.0,1089.0,1370.0,2010,0.0,98238.0
22,Alum Creek Unit 3-15,7968,460456.10344827536,1362.0,2539.0,4333.0,1177.0,1794.0,1988,48176.58620689656,412279.5172413787
23,Alum Creek Unit 3-16,8131,78832.06896551722,355.0,828.0,1585.0,473.0,757.0,1984,25967.96551724138,52864.10344827584
24,Alum Creek Unit 3-7,8986,673422.2758620693,1031.0,2368.0,3544.0,1337.0,1176.0,1988,80286.51724137932,593135.75862069
25,Alum Creek Unit 3-8,7685,1010829.1724137935,1089.0,1968.0,2630.0,879.0,662.0,1987,124204.03448275862,886625.1379310351
26,Alum Creek Unit 3-9,7168,236940.24137931032,767.0,2152.0,4229.0,1385.0,2077.0,1987,55354.551724137935,181585.68965517238
27,Apache 12-22H WBBRRU,104088,341555.5862068945,1473.0,3473.0,5862.0,2000.0,2389.0,2004,0.0,341555.5862068945
28,Apache 13-22 Clarkson,88963,496640.96551723895,2588.0,4630.0,7577.0,2042.0,2947.0,1997,49512.0,447128.96551723895
29,Apache 27-2 Clarkson,63013,589882.3103448251,2916.0,6705.0,10257.0,3789.0,3552.0,1999,128751.0,461131.31034482515
30,Apache 3-27 Clarkson,102706,137065.41379310365,843.0,2168.0,3957.0,1325.0,1789.0,1999,0.0,137065.41379310365
31,Apache 6-21 Clarkson,90699,40214.0,414.0,1231.0,2051.0,817.0,820.0,1988,13129.0,27085.0
32,Apache 8-27 Clarkson,103019,129965.75862068997,623.0,1401.0,2795.0,778.0,1394.0,1997,0.0,129965.75862068997
33,Apache 9-21 Clarkson,90602,375991.48275861825,2336.0,5000.0,8539.0,2664.0,3539.0,1999,42906.0,333085.48275861825
34,BOG 1-3 Davis Federal,102129,33987.931034482724,617.0,1566.0,3339.0,949.0,1773.0,1998,33987.931034482724,0.0
35,BOG 1-4 Davis Federal,103417,46120.517241379326,815.0,2058.0,3905.0,1243.0,1847.0,2001,46120.517241379326,0.0
36,BOG 1-9 Davis Federal,103723,36250.172413793116,622.0,1600.0,3347.0,978.0,1747.0,2000,36250.172413793116,0.0
37,BOG 2-16 State,109906,12145.689655172413,605.0,1379.0,2954.0,774.0,1575.0,2005,12145.689655172413,0.0
38,BOG 2-3 Federal,113803,1757.5862068965516,273.0,665.0,946.0,392.0,281.0,2011,1757.5862068965516,0.0
39,BOG 2-32 Federal,110151,23236.724137931025,816.0,2066.0,3678.0,1250.0,1612.0,2006,23236.724137931025,0.0
40,BOG 2-33 Davis Federal,77092,18802.93103448277,505.0,1294.0,2525.0,789.0,1231.0,1998,18802.93103448277,0.0
41,BOG 2-4 Davis Federal,102448,34028.27586206897,606.0,1583.0,3575.0,977.0,1992.0,1999,34028.27586206897,0.0
